configuration_id,corrupted_party,abort_before_opening_prefix,next_sender,terminal_state,openings_completed,maximum_information_lead,lambda_bits,fairness_violation,corrupt_party_owns_valid_MAC_key,prefix_checked
fair_00000,Alice,0,Alice,ABORT_PARTICIPANT,0,0,1,False,True,True
fair_00000,Alice,3,Alice,ABORT_PARTICIPANT,3,1,1,False,True,True
fair_00000,Alice,4,Alice,ABORT_PARTICIPANT,4,1,1,False,True,True
fair_00000,Alice,7,Alice,ABORT_PARTICIPANT,7,1,1,False,True,True
fair_00000,Bob,1,Bob,ABORT_PARTICIPANT,1,1,1,False,True,True
fair_00000,Bob,2,Bob,ABORT_PARTICIPANT,2,1,1,False,True,True
fair_00000,Bob,5,Bob,ABORT_PARTICIPANT,5,1,1,False,True,True
fair_00000,Bob,6,Bob,ABORT_PARTICIPANT,6,1,1,False,True,True
fair_00001,Alice,1,Alice,ABORT_PARTICIPANT,1,1,1,False,True,True
fair_00001,Alice,2,Alice,ABORT_PARTICIPANT,2,1,1,False,True,True
fair_00001,Alice,5,Alice,ABORT_PARTICIPANT,5,1,1,False,True,True
fair_00001,Alice,6,Alice,ABORT_PARTICIPANT,6,1,1,False,True,True
fair_00001,Bob,0,Bob,ABORT_PARTICIPANT,0,0,1,False,True,True
fair_00001,Bob,3,Bob,ABORT_PARTICIPANT,3,1,1,False,True,True
fair_00001,Bob,4,Bob,ABORT_PARTICIPANT,4,1,1,False,True,True
fair_00001,Bob,7,Bob,ABORT_PARTICIPANT,7,1,1,False,True,True
fair_00002,Alice,0,Alice,ABORT_PARTICIPANT,0,0,2,False,True,True
fair_00002,Alice,3,Alice,ABORT_PARTICIPANT,3,2,2,False,True,True
fair_00002,Bob,1,Bob,ABORT_PARTICIPANT,1,2,2,False,True,True
fair_00002,Bob,2,Bob,ABORT_PARTICIPANT,2,2,2,False,True,True
fair_00003,Alice,1,Alice,ABORT_PARTICIPANT,1,2,2,False,True,True
fair_00003,Alice,2,Alice,ABORT_PARTICIPANT,2,2,2,False,True,True
fair_00003,Bob,0,Bob,ABORT_PARTICIPANT,0,0,2,False,True,True
fair_00003,Bob,3,Bob,ABORT_PARTICIPANT,3,2,2,False,True,True
fair_00004,Alice,0,Alice,ABORT_PARTICIPANT,0,0,4,False,True,True
fair_00004,Bob,1,Bob,ABORT_PARTICIPANT,1,4,4,False,True,True
fair_00005,Alice,1,Alice,ABORT_PARTICIPANT,1,4,4,False,True,True
fair_00005,Bob,0,Bob,ABORT_PARTICIPANT,0,0,4,False,True,True
fair_00006,Alice,0,Alice,ABORT_PARTICIPANT,0,0,1,False,True,True
fair_00006,Alice,3,Alice,ABORT_PARTICIPANT,3,1,1,False,True,True
fair_00006,Alice,4,Alice,ABORT_PARTICIPANT,4,1,1,False,True,True
fair_00006,Alice,7,Alice,ABORT_PARTICIPANT,7,1,1,False,True,True
fair_00006,Bob,1,Bob,ABORT_PARTICIPANT,1,1,1,False,True,True
fair_00006,Bob,2,Bob,ABORT_PARTICIPANT,2,1,1,False,True,True
fair_00006,Bob,5,Bob,ABORT_PARTICIPANT,5,1,1,False,True,True
fair_00006,Bob,6,Bob,ABORT_PARTICIPANT,6,1,1,False,True,True
fair_00007,Alice,1,Alice,ABORT_PARTICIPANT,1,1,1,False,True,True
fair_00007,Alice,2,Alice,ABORT_PARTICIPANT,2,1,1,False,True,True
fair_00007,Alice,5,Alice,ABORT_PARTICIPANT,5,1,1,False,True,True
fair_00007,Alice,6,Alice,ABORT_PARTICIPANT,6,1,1,False,True,True
fair_00007,Bob,0,Bob,ABORT_PARTICIPANT,0,0,1,False,True,True
fair_00007,Bob,3,Bob,ABORT_PARTICIPANT,3,1,1,False,True,True
fair_00007,Bob,4,Bob,ABORT_PARTICIPANT,4,1,1,False,True,True
fair_00007,Bob,7,Bob,ABORT_PARTICIPANT,7,1,1,False,True,True
fair_00008,Alice,0,Alice,ABORT_PARTICIPANT,0,0,2,False,True,True
fair_00008,Alice,3,Alice,ABORT_PARTICIPANT,3,2,2,False,True,True
fair_00008,Bob,1,Bob,ABORT_PARTICIPANT,1,2,2,False,True,True
fair_00008,Bob,2,Bob,ABORT_PARTICIPANT,2,2,2,False,True,True
fair_00009,Alice,1,Alice,ABORT_PARTICIPANT,1,2,2,False,True,True
fair_00009,Alice,2,Alice,ABORT_PARTICIPANT,2,2,2,False,True,True
fair_00009,Bob,0,Bob,ABORT_PARTICIPANT,0,0,2,False,True,True
fair_00009,Bob,3,Bob,ABORT_PARTICIPANT,3,2,2,False,True,True
fair_00010,Alice,0,Alice,ABORT_PARTICIPANT,0,0,4,False,True,True
fair_00010,Bob,1,Bob,ABORT_PARTICIPANT,1,4,4,False,True,True
fair_00011,Alice,1,Alice,ABORT_PARTICIPANT,1,4,4,False,True,True
fair_00011,Bob,0,Bob,ABORT_PARTICIPANT,0,0,4,False,True,True
fair_00012,Alice,0,Alice,ABORT_PARTICIPANT,0,0,1,False,True,True
