mode,n_blocks,lambda_bits,ell_per_sequence,r,paper_logical_auth_generation_count,paper_logical_auth_verification_count,paper_logical_auth_operation_count,paper_commitment_generation_or_verification_count,paper_record_aggregation_assumption,reference_actual_auth_generation_count,reference_actual_auth_verification_count,reference_actual_auth_operation_count,reference_commitment_record_mac_generation_count,reference_commitment_record_mac_verification_count,reference_opening_record_mac_generation_count,reference_opening_record_mac_verification_count,reference_engineering_outer_mac_generation_count,reference_engineering_outer_mac_verification_count,reference_minus_paper_operations,difference_reason
basic,1,,4,,6,6,12,0,not_applicable_basic,10,10,20,0,0,0,0,4,4,8,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
basic,2,,4,,6,6,12,0,not_applicable_basic,10,10,20,0,0,0,0,4,4,8,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
basic,4,,4,,6,6,12,0,not_applicable_basic,10,10,20,0,0,0,0,4,4,8,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
basic,8,,4,,6,6,12,0,not_applicable_basic,10,10,20,0,0,0,0,4,4,8,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
basic,16,,4,,6,6,12,0,not_applicable_basic,10,10,20,0,0,0,0,4,4,8,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
basic,32,,4,,6,6,12,0,not_applicable_basic,10,10,20,0,0,0,0,4,4,8,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,1,1,4,2,12,12,24,8,two aggregated commitment records plus two opening records per release block,18,18,36,4,4,4,4,4,4,12,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,1,2,4,1,10,10,20,4,two aggregated commitment records plus two opening records per release block,14,14,28,2,2,2,2,4,4,8,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,2,1,4,4,16,16,32,16,two aggregated commitment records plus two opening records per release block,26,26,52,8,8,8,8,4,4,20,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,2,2,4,2,12,12,24,8,two aggregated commitment records plus two opening records per release block,18,18,36,4,4,4,4,4,4,12,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,2,4,4,1,10,10,20,4,two aggregated commitment records plus two opening records per release block,14,14,28,2,2,2,2,4,4,8,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,4,1,4,8,24,24,48,32,two aggregated commitment records plus two opening records per release block,42,42,84,16,16,16,16,4,4,36,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,4,2,4,4,16,16,32,16,two aggregated commitment records plus two opening records per release block,26,26,52,8,8,8,8,4,4,20,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,4,4,4,2,12,12,24,8,two aggregated commitment records plus two opening records per release block,18,18,36,4,4,4,4,4,4,12,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,4,8,4,1,10,10,20,4,two aggregated commitment records plus two opening records per release block,14,14,28,2,2,2,2,4,4,8,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,8,1,4,16,40,40,80,64,two aggregated commitment records plus two opening records per release block,74,74,148,32,32,32,32,4,4,68,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,8,2,4,8,24,24,48,32,two aggregated commitment records plus two opening records per release block,42,42,84,16,16,16,16,4,4,36,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,8,4,4,4,16,16,32,16,two aggregated commitment records plus two opening records per release block,26,26,52,8,8,8,8,4,4,20,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,8,8,4,2,12,12,24,8,two aggregated commitment records plus two opening records per release block,18,18,36,4,4,4,4,4,4,12,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,16,1,4,32,72,72,144,128,two aggregated commitment records plus two opening records per release block,138,138,276,64,64,64,64,4,4,132,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,16,2,4,16,40,40,80,64,two aggregated commitment records plus two opening records per release block,74,74,148,32,32,32,32,4,4,68,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,16,4,4,8,24,24,48,32,two aggregated commitment records plus two opening records per release block,42,42,84,16,16,16,16,4,4,36,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,16,8,4,4,16,16,32,16,two aggregated commitment records plus two opening records per release block,26,26,52,8,8,8,8,4,4,20,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
fair,32,1,4,64,136,136,272,256,two aggregated commitment records plus two opening records per release block,266,266,532,128,128,128,128,4,4,260,reference uses per-block commitment records and engineering outer MACs; paper formula assumes aggregated commitments
