configuration_id,seed,n_blocks,message_length_bits,lambda_bits,cluster_pattern,cluster_sequence,executor_cluster_sequence,alice_message_pattern,bob_message_pattern,alice_message_bits,bob_message_bits,requested_initial_leader,derived_initial_leader,terminal_state,success,gamma_after_recovery,commitment_ciphertext_mask_link,block_algebra,C_A_hex,C_B_hex,ciphertext_A_formula,ciphertext_B_formula,all_block_message_relations_valid,last_chunk_a_bits,last_chunk_b_bits,true_last_chunk_accounting,maximum_information_lead,fairness_violation,joint_6n_state_constructed
fair_00000,2026083001,2,4,1,all_phi1,phi1|phi1,phi1|phi1,all_00,all_00,0000,0000,Alice,Alice,COMPLETED,True,True,True,"[{""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}, {""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}]",0000000401,000000040c,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,True,1,1,True,1,False,False
fair_00001,2026083001,2,4,1,all_phi1,phi1|phi1,phi1|phi1,all_00,all_00,0000,0000,Bob,Bob,COMPLETED,True,True,True,"[{""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}, {""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}]",000000040d,000000040e,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,True,1,1,True,1,False,False
fair_00002,2026083001,2,4,2,all_phi1,phi1|phi1,phi1|phi1,all_00,all_00,0000,0000,Alice,Alice,COMPLETED,True,True,True,"[{""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}, {""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}]",000000040e,000000040b,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,True,2,2,True,2,False,False
fair_00003,2026083001,2,4,2,all_phi1,phi1|phi1,phi1|phi1,all_00,all_00,0000,0000,Bob,Bob,COMPLETED,True,True,True,"[{""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}, {""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}]",000000040d,0000000407,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,True,2,2,True,2,False,False
fair_00004,2026083001,2,4,4,all_phi1,phi1|phi1,phi1|phi1,all_00,all_00,0000,0000,Alice,Alice,COMPLETED,True,True,True,"[{""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}, {""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}]",0000000400,000000040d,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,True,4,4,True,4,False,False
fair_00005,2026083001,2,4,4,all_phi1,phi1|phi1,phi1|phi1,all_00,all_00,0000,0000,Bob,Bob,COMPLETED,True,True,True,"[{""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}, {""M_A"": ""01"", ""M_B"": ""00"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}]",0000000409,000000040e,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,True,4,4,True,4,False,False
fair_00006,2026083001,2,4,1,all_phi1,phi1|phi1,phi1|phi1,all_00,all_11,0000,1111,Alice,Alice,COMPLETED,True,True,True,"[{""M_A"": ""10"", ""M_B"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}, {""M_A"": ""10"", ""M_B"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}]",0000000408,000000040f,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,True,1,1,True,1,False,False
fair_00007,2026083001,2,4,1,all_phi1,phi1|phi1,phi1|phi1,all_00,all_11,0000,1111,Bob,Bob,COMPLETED,True,True,True,"[{""M_A"": ""10"", ""M_B"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}, {""M_A"": ""10"", ""M_B"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}]",0000000401,0000000408,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,True,1,1,True,1,False,False
fair_00008,2026083001,2,4,2,all_phi1,phi1|phi1,phi1|phi1,all_00,all_11,0000,1111,Alice,Alice,COMPLETED,True,True,True,"[{""M_A"": ""10"", ""M_B"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}, {""M_A"": ""10"", ""M_B"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}]",000000040b,0000000400,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,True,2,2,True,2,False,False
fair_00009,2026083001,2,4,2,all_phi1,phi1|phi1,phi1|phi1,all_00,all_11,0000,1111,Bob,Bob,COMPLETED,True,True,True,"[{""M_A"": ""10"", ""M_B"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}, {""M_A"": ""10"", ""M_B"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}]",000000040c,000000040e,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,True,2,2,True,2,False,False
