branch_id,branch_index,initial_state,alice_message,bob_message,bell_branch_12,bell_branch_34,bell_branch_56,M_B,tilde_M_B,M_A,tilde_M_A,K_A_otp_hex,K_B_otp_hex,C_A_hex,C_B_hex,ciphertext_A_formula,ciphertext_B_formula,ciphertext_formulas_valid,message_relations_valid,decoded_intermediates,passed_classical_quantum_input,Out_A,Out_B,executor_recovered_by_alice,executor_recovered_by_bob,gamma_A_valid,gamma_B_valid,terminal_state,logical_erasure,branch_success
phi1-A00-B00-00_00_01,0,phi1,00,00,00,00,01,00,00,01,01,88,a6,89,a6,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}","{""bell_labels"": [""00"", ""00"", ""01""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""00"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""00""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",00,00,00,00,True,True,COMPLETED,True,True
phi1-A00-B00-00_01_10,1,phi1,00,00,00,01,10,01,01,10,10,27,09,25,08,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""01""}","{""bell_labels"": [""00"", ""01"", ""10""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""00"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""01""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",00,00,00,00,True,True,COMPLETED,True,True
phi1-A00-B00-11_10_01,2,phi1,00,00,11,10,01,10,10,01,01,22,5e,23,5c,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""10""}","{""bell_labels"": [""11"", ""10"", ""01""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""00"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""10""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",00,00,00,00,True,True,COMPLETED,True,True
phi1-A00-B00-11_11_10,3,phi1,00,00,11,11,10,11,11,10,10,46,ab,44,a8,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""11""}","{""bell_labels"": [""11"", ""11"", ""10""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""00"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""11""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",00,00,00,00,True,True,COMPLETED,True,True
phi1-A00-B01-00_00_10,4,phi1,00,01,00,00,10,01,00,10,10,a5,76,a7,76,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""00""}","{""bell_labels"": [""00"", ""00"", ""10""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""01"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""00""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",01,00,01,00,True,True,COMPLETED,True,True
phi1-A00-B01-00_01_01,5,phi1,00,01,00,01,01,00,01,01,01,12,ed,13,ec,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""01""}","{""bell_labels"": [""00"", ""01"", ""01""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""01"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""01""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",01,00,01,00,True,True,COMPLETED,True,True
phi1-A00-B01-11_10_10,6,phi1,00,01,11,10,10,11,10,10,10,1f,72,1d,70,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}","{""bell_labels"": [""11"", ""10"", ""10""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""01"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""11"", ""alice_base34"": ""11"", ""alice_base56"": ""10"", ""bob_base34"": ""11"", ""bob_base56"": ""10"", ""label12"": ""11"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""10""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",01,00,01,00,True,True,COMPLETED,True,True
phi1-A00-B01-11_11_01,7,phi1,00,01,11,11,01,10,11,01,01,79,d9,78,da,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""11""}","{""bell_labels"": [""11"", ""11"", ""01""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""01"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""10"", ""alice_base34"": ""10"", ""alice_base56"": ""01"", ""bob_base34"": ""10"", ""bob_base56"": ""01"", ""label12"": ""11"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""11""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",01,00,01,00,True,True,COMPLETED,True,True
phi1-A00-B10-00_10_01,8,phi1,00,10,00,10,01,00,10,01,01,e4,32,e5,30,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""10""}","{""bell_labels"": [""00"", ""10"", ""01""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""10"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""01"", ""M_B"": ""00"", ""alice_base34"": ""00"", ""alice_base56"": ""01"", ""bob_base34"": ""00"", ""bob_base56"": ""01"", ""label12"": ""00"", ""tilde_M_A"": ""01"", ""tilde_M_B"": ""10""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",10,00,10,00,True,True,COMPLETED,True,True
phi1-A00-B10-00_11_10,9,phi1,00,10,00,11,10,01,11,10,10,06,1e,04,1d,C_A=tilde_M_A XOR K_A_otp,C_B=tilde_M_B XOR K_B_otp,True,True,"{""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""11""}","{""bell_labels"": [""00"", ""11"", ""10""], ""cluster_type"": ""phi1"", ""decoded_for_alice"": ""10"", ""decoded_for_bob"": ""00"", ""decoded_intermediates"": {""M_A"": ""10"", ""M_B"": ""01"", ""alice_base34"": ""01"", ""alice_base56"": ""10"", ""bob_base34"": ""01"", ""bob_base56"": ""10"", ""label12"": ""00"", ""tilde_M_A"": ""10"", ""tilde_M_B"": ""11""}, ""source"": ""qiskit_statevector_nonzero_bell_support""}",10,00,10,00,True,True,COMPLETED,True,True
